repo,commenter,month,churn_add,churn_del,comment_count,commit_count,issue_count,pr_count,thread_comments_total,thread_participants_total,threads_participated,active_months,active,last_active_month,engagement_label
vitejs/vite,43081j,2024/3/1,89,80,0,1,0,0,0,0,0,9,TRUE,2025/4/1,Engaged
sveltejs/svelte,43081j,2024/4/1,0,0,2,0,0,0,83,42,1,9,TRUE,2025/4/1,Engaged
storybookjs/storybook,43081j,2024/5/1,25653,8691,0,8,0,2,0,0,0,9,TRUE,2025/4/1,Engaged
storybookjs/storybook,43081j,2024/6/1,5085,3395,0,11,0,5,0,0,0,9,TRUE,2025/4/1,Engaged
vitejs/vite,43081j,2024/6/1,0,0,0,0,0,1,0,0,0,9,TRUE,2025/4/1,Engaged
storybookjs/storybook,43081j,2024/7/1,107021,157703,0,4,0,0,0,0,0,9,TRUE,2025/4/1,Engaged
storybookjs/storybook,43081j,2024/8/1,46357,27278,0,7,0,1,0,0,0,9,TRUE,2025/4/1,Engaged
storybookjs/storybook,43081j,2024/9/1,45293,23050,0,7,0,1,0,0,0,9,TRUE,2025/4/1,Engaged
storybookjs/storybook,43081j,2025/4/1,0,0,0,0,0,1,0,0,0,9,TRUE,2025/4/1,Engaged
huggingface/transformers,4N3MONE,2024/7/1,0,0,0,0,0,2,0,0,0,4,TRUE,2024/10/1,Disengaged
huggingface/transformers,4N3MONE,2024/8/1,1224,4,0,1,0,1,0,0,0,4,TRUE,2024/10/1,Disengaged
huggingface/transformers,4N3MONE,2024/9/1,0,0,0,0,0,1,0,0,0,4,TRUE,2024/10/1,Disengaged
huggingface/transformers,4N3MONE,2024/10/1,316,2,0,1,0,1,0,0,0,4,TRUE,2024/10/1,Disengaged
FreeTubeApp/FreeTube,4yman-0,2024/6/1,0,0,0,0,1,1,0,0,0,4,TRUE,2025/2/1,Disengaged
FreeTubeApp/FreeTube,4yman-0,2024/8/1,0,0,0,0,1,1,0,0,0,4,TRUE,2025/2/1,Disengaged
FreeTubeApp/FreeTube,4yman-0,2024/10/1,0,0,0,0,2,0,0,0,0,4,TRUE,2025/2/1,Disengaged
FreeTubeApp/FreeTube,4yman-0,2025/2/1,0,0,0,0,1,0,0,0,0,4,TRUE,2025/2/1,Disengaged
go-gitea/gitea,6543,2024/2/1,1052,1719,0,11,0,16,0,0,0,12,TRUE,2025/2/1,Disengaged
go-gitea/gitea,6543,2024/3/1,1144,846,0,12,0,16,0,0,0,12,TRUE,2025/2/1,Disengaged
go-gitea/gitea,6543,2024/4/1,64,34,0,2,0,9,0,0,0,12,TRUE,2025/2/1,Disengaged
go-gitea/gitea,6543,2024/5/1,100,2,0,2,0,3,0,0,0,12,TRUE,2025/2/1,Disengaged
go-gitea/gitea,6543,2024/6/1,362,182,0,6,0,9,0,0,0,12,TRUE,2025/2/1,Disengaged
go-gitea/gitea,6543,2024/7/1,205,26,0,5,0,5,0,0,0,12,TRUE,2025/2/1,Disengaged
go-gitea/gitea,6543,2024/9/1,2,3,0,2,0,1,0,0,0,12,TRUE,2025/2/1,Disengaged
go-gitea/gitea,6543,2024/10/1,177,61,0,4,0,11,0,0,0,12,TRUE,2025/2/1,Disengaged
go-gitea/gitea,6543,2024/11/1,634,69,1,3,0,1,18,13,1,12,TRUE,2025/2/1,Disengaged
go-gitea/gitea,6543,2024/12/1,0,0,1,0,0,0,18,13,1,12,TRUE,2025/2/1,Disengaged
go-gitea/gitea,6543,2025/1/1,11,6,1,1,0,2,18,13,1,12,TRUE,2025/2/1,Disengaged
go-gitea/gitea,6543,2025/2/1,81,67,0,1,0,0,0,0,0,12,TRUE,2025/2/1,Disengaged
godotengine/godot,777joe,2024/9/1,0,0,0,0,1,0,0,0,0,3,TRUE,2024/11/1,Disengaged
godotengine/godot,777joe,2024/10/1,0,0,0,0,1,0,0,0,0,3,TRUE,2024/11/1,Disengaged
godotengine/godot,777joe,2024/11/1,0,0,0,0,0,1,0,0,0,3,TRUE,2024/11/1,Disengaged
sveltejs/svelte,7nik,2024/3/1,0,0,2,0,0,0,29,15,1,10,TRUE,2025/4/1,Engaged
sveltejs/svelte,7nik,2024/4/1,0,0,4,0,0,0,105,51,2,10,TRUE,2025/4/1,Engaged
sveltejs/svelte,7nik,2024/5/1,0,0,2,0,1,0,97,59,2,10,TRUE,2025/4/1,Engaged
sveltejs/svelte,7nik,2024/6/1,0,0,1,0,0,0,75,46,1,10,TRUE,2025/4/1,Engaged
sveltejs/svelte,7nik,2024/7/1,0,0,5,0,1,0,92,53,2,10,TRUE,2025/4/1,Engaged
sveltejs/svelte,7nik,2024/9/1,0,0,1,0,0,0,26,13,1,10,TRUE,2025/4/1,Engaged
