repo,commenter,month,commit_count,churn_add,churn_del
scikit-learn/scikit-learn,sortofamudkip,2025-02-01,1,33,14
scikit-learn/scikit-learn,irene000,2025-04-01,1,41,24
scikit-learn/scikit-learn,marenwestermann,2025-04-01,1,9,5
scikit-learn/scikit-learn,marenwestermann,2024-06-01,1,3,3
scikit-learn/scikit-learn,Rishab260,2025-04-01,1,19,19
scikit-learn/scikit-learn,Rishab260,2025-03-01,6,79,18
scikit-learn/scikit-learn,star1327p,2025-04-01,1,3,1
scikit-learn/scikit-learn,star1327p,2025-03-01,6,16,15
scikit-learn/scikit-learn,star1327p,2025-02-01,9,27,28
scikit-learn/scikit-learn,star1327p,2025-01-01,3,5,3
scikit-learn/scikit-learn,star1327p,2024-12-01,1,1,1
scikit-learn/scikit-learn,EmilyXinyi,2025-04-01,1,170,58
scikit-learn/scikit-learn,EmilyXinyi,2024-08-01,1,147,143
scikit-learn/scikit-learn,EmilyXinyi,2024-07-01,5,102,21
scikit-learn/scikit-learn,EmilyXinyi,2024-06-01,2,15,5
scikit-learn/scikit-learn,glevv,2025-04-01,1,71,50
scikit-learn/scikit-learn,glevv,2025-03-01,1,14,14
scikit-learn/scikit-learn,glevv,2024-10-01,2,110,55
scikit-learn/scikit-learn,MarcoGorelli,2025-03-01,1,6,16
scikit-learn/scikit-learn,MarcoGorelli,2024-07-01,1,172,41
scikit-learn/scikit-learn,MarcoGorelli,2024-06-01,1,57,6
scikit-learn/scikit-learn,MarcoGorelli,2024-03-01,3,99,29
scikit-learn/scikit-learn,MarcoGorelli,2024-02-01,1,4,3
scikit-learn/scikit-learn,agriyakhetarpal,2025-03-01,2,122,131
scikit-learn/scikit-learn,myenugula,2025-03-01,1,19,0
scikit-learn/scikit-learn,myenugula,2024-04-01,1,29,1
scikit-learn/scikit-learn,lucascolley,2025-03-01,2,8904,481
scikit-learn/scikit-learn,lucascolley,2025-01-01,1,1,0
scikit-learn/scikit-learn,ajay-sentry,2025-03-01,1,17,12
scikit-learn/scikit-learn,gsreeja11,2025-03-01,1,1,1
scikit-learn/scikit-learn,he7d3r,2025-03-01,1,2,2
scikit-learn/scikit-learn,yarikoptic,2025-03-01,2,16,12
scikit-learn/scikit-learn,elhambbi,2025-03-01,1,5,3
scikit-learn/scikit-learn,elhambbi,2025-02-01,1,4,0
scikit-learn/scikit-learn,dschult,2025-03-01,1,28,18
scikit-learn/scikit-learn,FreddSaucedo,2025-03-01,1,1,1
scikit-learn/scikit-learn,ebb-earl-co,2025-03-01,1,3,2
scikit-learn/scikit-learn,Morgenmuffel,2025-03-01,1,3,71
scikit-learn/scikit-learn,betatim,2025-03-01,2,44,36
scikit-learn/scikit-learn,betatim,2025-02-01,1,7,7
scikit-learn/scikit-learn,betatim,2025-01-01,2,10,5
scikit-learn/scikit-learn,betatim,2024-10-01,1,2,1
scikit-learn/scikit-learn,betatim,2024-08-01,2,16,5
scikit-learn/scikit-learn,betatim,2024-07-01,3,109,87
scikit-learn/scikit-learn,betatim,2024-06-01,2,479,16
scikit-learn/scikit-learn,betatim,2024-04-01,1,59,145
scikit-learn/scikit-learn,betatim,2024-03-01,1,97,4
scikit-learn/scikit-learn,GaelVaroquaux,2025-03-01,1,4,0
scikit-learn/scikit-learn,GaelVaroquaux,2024-11-01,1,14,38
scikit-learn/scikit-learn,GaelVaroquaux,2024-05-01,1,70,62
scikit-learn/scikit-learn,GaelVaroquaux,2024-02-01,2,10,6
scikit-learn/scikit-learn,AndresGuzman-Ballen,2025-03-01,1,1,1
scikit-learn/scikit-learn,shimooper,2025-03-01,1,1,1
scikit-learn/scikit-learn,sylvaincom,2025-03-01,1,15,14
scikit-learn/scikit-learn,sylvaincom,2025-02-01,1,8,8
scikit-learn/scikit-learn,sylvaincom,2024-11-01,1,1,1
scikit-learn/scikit-learn,goutam-kul,2025-03-01,1,1,3
scikit-learn/scikit-learn,Sourabh-Kumar7,2025-02-01,1,4,4
scikit-learn/scikit-learn,OmarManzoor,2025-02-01,1,2,21
scikit-learn/scikit-learn,OmarManzoor,2025-01-01,1,35,5
scikit-learn/scikit-learn,OmarManzoor,2024-11-01,2,285,120
scikit-learn/scikit-learn,OmarManzoor,2024-08-01,2,321,40
scikit-learn/scikit-learn,OmarManzoor,2024-07-01,5,314,70
scikit-learn/scikit-learn,OmarManzoor,2024-06-01,1,88,21
scikit-learn/scikit-learn,OmarManzoor,2024-05-01,5,688,90
scikit-learn/scikit-learn,OmarManzoor,2024-04-01,1,123,21
scikit-learn/scikit-learn,OmarManzoor,2024-03-01,1,218,55
scikit-learn/scikit-learn,frewsxcv,2025-02-01,1,6,2
scikit-learn/scikit-learn,santiviquez,2025-02-01,1,3,1
scikit-learn/scikit-learn,mahmadza,2025-02-01,1,3,0
scikit-learn/scikit-learn,emma-carballal,2025-02-01,1,3,0
scikit-learn/scikit-learn,sotagg,2025-02-01,1,180,164
scikit-learn/scikit-learn,glemaitre,2025-02-01,1,96,64
scikit-learn/scikit-learn,glemaitre,2025-01-01,2,111,22
scikit-learn/scikit-learn,glemaitre,2024-12-01,4,14,2
scikit-learn/scikit-learn,glemaitre,2024-11-01,13,1132,332
scikit-learn/scikit-learn,glemaitre,2024-10-01,21,1026,1437
scikit-learn/scikit-learn,glemaitre,2024-09-01,15,320,142
scikit-learn/scikit-learn,glemaitre,2024-08-01,1,32,20
scikit-learn/scikit-learn,glemaitre,2024-07-01,1,8,9
scikit-learn/scikit-learn,glemaitre,2024-06-01,1,122,113
scikit-learn/scikit-learn,glemaitre,2024-05-01,6,3006,60
scikit-learn/scikit-learn,glemaitre,2024-04-01,1,55,22
scikit-learn/scikit-learn,glemaitre,2024-03-01,6,33,386
scikit-learn/scikit-learn,glemaitre,2024-02-01,12,403,184
scikit-learn/scikit-learn,preyasshah9,2025-02-01,3,67,24
scikit-learn/scikit-learn,yuvipanda,2025-02-01,1,3,3
scikit-learn/scikit-learn,yuvipanda,2025-01-01,1,1,1
scikit-learn/scikit-learn,claudio1975,2025-02-01,1,5,0
scikit-learn/scikit-learn,claudio1975,2024-10-01,4,10,6
scikit-learn/scikit-learn,SuccessMoses,2025-02-01,1,33,10
scikit-learn/scikit-learn,SuccessMoses,2025-01-01,3,261,51
scikit-learn/scikit-learn,kklein,2025-02-01,1,2,2
scikit-learn/scikit-learn,Siniade,2025-02-01,1,6,1
scikit-learn/scikit-learn,thomasjpfan,2025-02-01,1,62,117
scikit-learn/scikit-learn,thomasjpfan,2025-01-01,4,147,116
scikit-learn/scikit-learn,thomasjpfan,2024-11-01,1,1,2
scikit-learn/scikit-learn,thomasjpfan,2024-10-01,4,486,33
scikit-learn/scikit-learn,thomasjpfan,2024-09-01,1,66,81
scikit-learn/scikit-learn,thomasjpfan,2024-08-01,2,52,3
scikit-learn/scikit-learn,thomasjpfan,2024-06-01,3,9,14
scikit-learn/scikit-learn,thomasjpfan,2024-02-01,5,161,110
scikit-learn/scikit-learn,snath-xoc,2025-02-01,3,717,140
scikit-learn/scikit-learn,snath-xoc,2024-09-01,2,258,122
scikit-learn/scikit-learn,apachaves,2025-02-01,1,2,2
scikit-learn/scikit-learn,gilramot,2025-02-01,1,2,2
scikit-learn/scikit-learn,jeromedockes,2025-02-01,1,5,9
scikit-learn/scikit-learn,jeromedockes,2024-09-01,1,314,314
scikit-learn/scikit-learn,jeromedockes,2024-07-01,1,8,8
scikit-learn/scikit-learn,jeromedockes,2024-06-01,1,1,0
scikit-learn/scikit-learn,jeromedockes,2024-04-01,1,333,27
scikit-learn/scikit-learn,scott-huberty,2025-02-01,1,1,2
scikit-learn/scikit-learn,victoris93,2025-02-01,1,50,0
scikit-learn/scikit-learn,victoris93,2024-09-01,1,7,3
scikit-learn/scikit-learn,reshamas,2025-01-01,1,4,6
scikit-learn/scikit-learn,reshamas,2024-11-01,1,4,2
scikit-learn/scikit-learn,reshamas,2024-09-01,1,16,0
scikit-learn/scikit-learn,reshamas,2024-03-01,1,40,16
scikit-learn/scikit-learn,virchan,2025-01-01,1,82,28
scikit-learn/scikit-learn,virchan,2024-12-01,3,176,66
scikit-learn/scikit-learn,virchan,2024-09-01,1,136,39
scikit-learn/scikit-learn,virchan,2024-03-01,1,4,0
scikit-learn/scikit-learn,IlyaSolomatin,2025-01-01,1,316,315
scikit-learn/scikit-learn,ArturoSbr,2025-01-01,1,2,2
scikit-learn/scikit-learn,rolandrmgservices,2025-01-01,1,0,1
scikit-learn/scikit-learn,anntzer,2025-01-01,1,6,1
scikit-learn/scikit-learn,anntzer,2024-09-01,1,22,15
scikit-learn/scikit-learn,pedro9olivares,2025-01-01,1,14,14
scikit-learn/scikit-learn,vive12345,2025-01-01,1,4,8
scikit-learn/scikit-learn,colasri,2025-01-01,1,1,1
scikit-learn/scikit-learn,Ethan0456,2025-01-01,1,55,2
scikit-learn/scikit-learn,Charlie-XIAO,2025-01-01,3,42,32
scikit-learn/scikit-learn,Charlie-XIAO,2024-10-01,1,142,4
scikit-learn/scikit-learn,Charlie-XIAO,2024-09-01,5,612,835
scikit-learn/scikit-learn,Charlie-XIAO,2024-08-01,2,175,8
scikit-learn/scikit-learn,Charlie-XIAO,2024-07-01,6,849,702
scikit-learn/scikit-learn,Charlie-XIAO,2024-06-01,1,31,4
scikit-learn/scikit-learn,Charlie-XIAO,2024-05-01,6,930,921
scikit-learn/scikit-learn,Charlie-XIAO,2024-04-01,1,57,2
scikit-learn/scikit-learn,Charlie-XIAO,2024-03-01,1,76,25
scikit-learn/scikit-learn,Charlie-XIAO,2024-02-01,4,36,22
scikit-learn/scikit-learn,stefanogaspari,2025-01-01,2,10,2
scikit-learn/scikit-learn,saldanhad,2025-01-01,1,20,4
scikit-learn/scikit-learn,saldanhad,2024-10-01,1,136,98
scikit-learn/scikit-learn,saldanhad,2024-09-01,2,155,160
scikit-learn/scikit-learn,hugoboulenger,2025-01-01,1,4,1
scikit-learn/scikit-learn,rickiepark,2025-01-01,1,1,1
scikit-learn/scikit-learn,ThorbenMaa,2025-01-01,1,14,0
scikit-learn/scikit-learn,adrinjalali,2025-01-01,1,26,1
scikit-learn/scikit-learn,adrinjalali,2024-12-01,1,57,1
scikit-learn/scikit-learn,adrinjalali,2024-11-01,9,2541,1258
scikit-learn/scikit-learn,adrinjalali,2024-10-01,7,954,172
scikit-learn/scikit-learn,adrinjalali,2024-09-01,21,4136,2584
scikit-learn/scikit-learn,adrinjalali,2024-08-01,2,14,14
scikit-learn/scikit-learn,adrinjalali,2024-07-01,2,891,97
scikit-learn/scikit-learn,adrinjalali,2024-06-01,5,861,4141
scikit-learn/scikit-learn,adrinjalali,2024-05-01,5,9849,18630
scikit-learn/scikit-learn,adrinjalali,2024-04-01,3,317,227
scikit-learn/scikit-learn,adrinjalali,2024-03-01,2,107,52
scikit-learn/scikit-learn,adrinjalali,2024-02-01,5,251,62
scikit-learn/scikit-learn,hanjunkim11,2025-01-01,1,4,0
scikit-learn/scikit-learn,ArthurDbrn,2024-12-01,1,1,1
scikit-learn/scikit-learn,ani0075saha,2024-12-01,1,2,2
scikit-learn/scikit-learn,taharallouche,2024-12-01,1,23,2
scikit-learn/scikit-learn,rflamary,2024-12-01,1,75,3
scikit-learn/scikit-learn,UmbertoFasci,2024-12-01,1,1,1
scikit-learn/scikit-learn,tuscland,2024-12-01,1,3,3
scikit-learn/scikit-learn,bkp5190,2024-12-01,1,1,1
scikit-learn/scikit-learn,domenicocinque,2024-12-01,1,1,1
scikit-learn/scikit-learn,jnothman,2024-12-01,1,1,1
scikit-learn/scikit-learn,jnothman,2024-03-01,1,5,8
scikit-learn/scikit-learn,vbabatchev,2024-12-01,1,3,1
scikit-learn/scikit-learn,bryant1410,2024-12-01,1,1,1
scikit-learn/scikit-learn,m-maggi,2024-11-01,1,3,2
scikit-learn/scikit-learn,m-maggi,2024-07-01,2,9,8
scikit-learn/scikit-learn,m-maggi,2024-06-01,1,15,0
scikit-learn/scikit-learn,fabianhenning,2024-11-01,1,1,1
scikit-learn/scikit-learn,ajschumacher,2024-11-01,1,4,4
scikit-learn/scikit-learn,viktor765,2024-11-01,1,2,2
scikit-learn/scikit-learn,stephenpardy,2024-11-01,1,574,73
scikit-learn/scikit-learn,Akankshaaaa,2024-11-01,1,4,0
scikit-learn/scikit-learn,nxank4,2024-11-01,1,4,0
scikit-learn/scikit-learn,larsoner,2024-11-01,1,2,0
scikit-learn/scikit-learn,ThomasGesseyJonesPX,2024-11-01,1,34,8
